THM_ID,FLOOR,AISLE,COLUMN,SHELF,LEFT_OR_RIGHT,ARTICLE_CODE,STOCK_AMOUNT
167046755,MZN2,3,7,1,R,46,7
167046755,MZN2,3,7,1,R,42,287
167046755,MZN2,3,7,1,R,45,21
167046755,MZN2,3,7,1,R,47,7
167075241,MZN2,19,16,2,L,37,77
167075241,MZN2,19,16,2,L,38,98
167075241,MZN2,19,16,2,L,41,49
167075241,MZN2,19,16,2,L,87,21
167075241,MZN2,19,16,2,L,40,77
167075241,MZN2,19,16,2,L,86,14
167075241,MZN2,19,16,2,L,39,119
167075242,MZN2,19,16,2,R,37,112
167075242,MZN2,19,16,2,R,86,63
167075243,MZN2,19,17,2,L,87,231
167075243,MZN2,19,17,2,L,37,42
167075244,MZN2,19,17,2,R,37,168
167075244,MZN2,19,17,2,R,40,217
167075244,MZN2,19,17,2,R,38,77
167075245,MZN2,18,10,2,L,39,154
167075245,MZN2,18,10,2,L,37,168
167075245,MZN2,18,10,2,L,38,28
167075246,MZN2,18,11,2,L,39,154
167075246,MZN2,18,11,2,L,38,308
167075246,MZN2,18,11,2,L,40,7
167075247,MZN2,18,11,2,L,86,63
167075247,MZN2,18,11,2,L,87,63
167075248,MZN2,18,12,2,R,87,14
167075248,MZN2,18,12,2,R,86,140
167075249,MZN2,18,12,2,L,37,84
167075249,MZN2,18,12,2,L,38,91
167075249,MZN2,18,12,2,L,39,112
167075249,MZN2,18,12,2,L,40,28
167075249,MZN2,18,12,2,L,41,21
167075250,MZN2,18,13,2,R,39,91
167075250,MZN2,18,13,2,R,37,70
167075250,MZN2,18,13,2,R,40,63
167075251,MZN2,18,13,2,L,39,49
167075251,MZN2,18,13,2,L,37,126
167075251,MZN2,18,13,2,L,38,126
167075252,MZN2,18,13,2,L,38,84
167075252,MZN2,18,13,2,L,40,154
167075252,MZN2,18,13,2,L,39,77
167075253,MZN2,18,14,2,R,41,119
167075253,MZN2,18,14,2,R,39,84
167075253,MZN2,18,14,2,R,40,35
167075254,MZN2,18,14,2,R,39,14
167075254,MZN2,18,14,2,R,37,7
167075254,MZN2,18,14,2,R,41,98
167075255,MZN2,18,15,2,L,41,126
167075325,MZN2,2,3,1,R,46,301
167075325,MZN2,2,3,1,R,44,7
167075325,MZN2,2,3,1,R,45,42
167075326,MZN2,2,3,1,R,53,378
167075328,MZN2,2,4,1,R,52,189
167075329,MZN2,2,4,2,L,52,448
167075329,MZN2,2,4,2,L,51,252
167075330,MZN2,2,5,1,L,51,329
167075331,MZN2,2,5,1,R,45,441
167075331,MZN2,2,5,1,R,44,28
167075332,MZN2,2,5,1,L,51,287
167075333,MZN2,2,5,2,R,51,168
167075334,MZN2,2,4,1,L,51,203
167075335,MZN2,2,7,2,L,48,399
167075336,MZN2,2,8,2,R,48,189
167075337,MZN2,2,7,2,R,48,693
167075338,MZN2,2,8,1,R,49,406
167075339,MZN2,2,8,1,R,49,469
167075340,MZN2,2,9,2,R,49,126
167075341,MZN2,2,8,1,L,49,385
167075342,MZN2,3,3,2,L,43,112
167075342,MZN2,3,3,2,L,44,483
167075343,MZN2,3,3,2,L,43,315
167075343,MZN2,3,3,2,L,44,91
167075344,MZN2,3,2,2,R,44,357
167075345,MZN2,3,4,1,R,42,126
167075345,MZN2,3,4,1,R,43,525
167075345,MZN2,3,4,1,R,44,7
167075346,MZN2,3,5,1,R,50,336
167075347,MZN2,3,7,2,L,50,700
167075349,MZN2,3,9,1,R,42,112
167075349,MZN2,3,9,1,R,44,161
167075349,MZN2,3,9,1,R,45,105
167075349,MZN2,3,9,1,R,47,56
167075349,MZN2,3,9,1,R,46,70
167075349,MZN2,3,9,1,R,43,161
167075350,MZN2,3,8,2,R,50,273
167075351,MZN2,4,3,2,R,50,616
167075351,MZN2,4,3,2,R,49,7
167075352,MZN2,4,5,2,R,49,350
167075353,MZN2,4,3,2,L,49,343
167075391,MZN2,2,2,1,R,46,84
167075391,MZN2,2,2,1,R,45,7
167075391,MZN2,2,2,1,R,47,273
567225324,MZN6,2,13,4,L,6,20
567426429,MZN6,2,13,1,R,6,20
567428980,MZN6,23,12,3,R,4,20
567445885,MZN6,3,15,4,L,6,19
567516200,MZN6,2,10,3,L,6,20
567617708,MZN6,2,12,2,L,6,8
567619261,MZN5,6,9,3,R,30,315
567625055,MZN6,2,11,3,R,19,16
567645418,MZN5,6,12,4,L,32,245
567651737,MZN6,22,8,4,R,4,20
567652971,MZN5,6,9,3,R,29,245
567655942,MZN6,3,11,3,L,4,20
567658756,MZN6,19,4,2,L,10,2
567701338,MZN6,22,14,3,L,4,20
567704601,MZN5,6,9,3,R,30,315
567729211,MZN6,3,14,3,L,4,20
567731239,MZN6,3,14,3,L,4,18
567732667,MZN6,22,17,1,L,4,20
567740658,MZN5,26,6,7,R,2,20
567743764,MZN5,6,11,4,L,33,168
567746298,MZN6,22,16,1,R,5,20
567749707,MZN5,6,14,4,R,31,224
567753154,MZN6,14,2,1,R,2,9
567753164,MZN6,14,2,4,L,2,1
567754686,MZN5,6,9,4,L,31,280
567754702,MZN5,6,11,3,L,30,315
567754709,MZN5,6,11,2,L,30,315
567754812,MZN5,6,12,3,L,29,315
567755619,MZN5,6,9,4,R,30,315
567762195,MZN5,4,7,4,L,3,11
567762465,MZN5,6,9,3,R,31,280
567763432,MZN5,26,7,2,R,2,16
567763469,MZN5,26,6,2,R,1,16
567763470,MZN5,26,6,7,R,1,16
567763471,MZN5,26,6,7,R,1,16
567763638,MZN5,21,4,1,L,2,10
567763643,MZN5,20,4,5,L,1,13
567763644,MZN5,20,4,5,L,1,16
567763645,MZN5,20,4,5,L,1,4
567763655,MZN5,20,4,4,L,1,15
567763672,MZN5,12,4,2,R,2,15
567763673,MZN5,12,1,3,R,2,18
567763679,MZN5,12,3,2,L,2,15
567763681,MZN5,12,5,5,R,2,20
567763810,MZN5,26,7,6,R,1,16
567763812,MZN5,26,7,6,R,1,16
567763855,MZN5,10,5,1,L,2,16
567763857,MZN5,10,5,3,L,2,16
567763886,MZN5,20,4,5,L,1,16
567763888,MZN5,20,4,5,L,1,16
567763891,MZN5,12,2,3,L,2,15
567763902,MZN5,27,9,1,L,1,16
567763903,MZN5,26,8,3,R,1,16
567765232,MZN5,6,9,4,L,31,280
567789254,MZN6,3,14,3,L,4,22
567847591,MZN5,6,11,3,L,29,315
567877465,MZN6,7,10,1,L,1,1
567877553,MZN6,21,16,5,R,3,1
567878624,MZN6,22,17,3,L,5,20
567879703,MZN6,21,11,3,L,72,497
567881782,MZN5,2,19,1,R,58,112
567883715,MZN6,2,13,4,L,6,11
567883715,MZN6,2,13,4,L,5,7
567883909,MZN6,23,12,3,R,4,20
567883910,MZN6,22,3,4,L,4,20
567887131,MZN5,6,11,4,L,31,280
567898816,MZN6,22,16,3,R,6,20
567907662,MZN6,21,9,1,L,82,448
567923419,MZN6,22,17,4,L,4,20
567952428,MZN4,16,12,4,R,76,7
567952428,MZN4,16,12,4,R,75,7
567957655,MZN6,2,15,2,L,5,20
567964361,MZN6,3,7,2,R,5,20
567964363,MZN6,3,7,2,L,5,20
567964364,MZN6,3,7,2,L,4,20
567964365,MZN6,3,7,5,L,5,20
567964367,MZN6,3,6,3,L,5,20
567964370,MZN6,3,6,4,R,5,20
567964371,MZN6,3,6,4,R,5,20
567964372,MZN6,3,6,4,R,5,20
567964375,MZN6,3,6,3,L,5,20
567964377,MZN6,3,14,3,L,5,20
567964379,MZN6,3,14,3,L,4,20
567964382,MZN6,3,14,2,L,4,20
567964383,MZN6,23,12,3,R,4,20
567964386,MZN6,22,14,3,L,4,20
567967570,MZN6,1,4,1,R,4,18
567967577,MZN6,1,5,4,L,4,20
567967579,MZN6,1,4,3,R,4,20
567967580,MZN6,1,4,4,R,4,20
567967588,MZN6,23,1,4,L,7,16
567967591,MZN6,23,1,4,L,6,20
567967595,MZN6,23,1,4,R,4,3
567967622,MZN6,20,11,1,L,5,20
567967624,MZN6,20,11,3,R,4,20
567967625,MZN6,20,11,1,L,4,20
567967626,MZN6,20,10,4,L,5,20
567967627,MZN6,20,11,4,L,5,20
567967628,MZN6,20,10,4,L,5,20
567967630,MZN6,20,10,4,R,4,20
567967632,MZN6,20,10,4,L,5,20
567967633,MZN6,20,11,2,R,5,20
567967635,MZN6,20,10,4,L,5,20
567967644,MZN6,3,9,1,L,4,20
567967659,MZN6,2,2,4,L,4,20
567967661,MZN6,2,2,4,L,4,20
567967668,MZN6,2,2,2,L,6,20
567967670,MZN6,2,3,2,L,6,20
567967674,MZN6,1,2,1,L,6,20
567967675,MZN6,1,2,4,R,5,20
567967676,MZN6,1,2,4,L,5,20
567967677,MZN6,1,2,2,R,5,20
567967678,MZN6,1,2,2,L,5,20
567967679,MZN6,1,3,2,L,5,20
567967680,MZN6,1,2,2,R,5,20
567967681,MZN6,1,3,3,L,5,20
567967682,MZN6,1,3,4,L,5,20
567967683,MZN6,1,2,3,L,6,15
567967687,MZN6,1,2,1,R,5,20
567967689,MZN6,1,2,1,R,5,11
567968338,MZN6,1,3,3,L,6,20
567968377,MZN5,8,13,2,L,4,20
567968383,MZN5,8,9,1,L,4,18
567968384,MZN5,8,12,3,L,4,20
567968385,MZN5,8,10,4,L,4,20
567968387,MZN5,8,10,2,L,4,20
567968399,MZN6,25,11,4,L,5,20
567968401,MZN6,25,10,1,R,6,20
567968411,MZN6,22,8,4,L,6,20
567968412,MZN6,22,6,2,L,4,20
567968415,MZN6,22,8,4,L,4,20
567969052,MZN6,23,12,3,L,5,20
567969056,MZN6,23,12,3,L,5,20
567969070,MZN6,3,11,4,L,5,20
567969071,MZN6,3,11,4,L,5,20
567969074,MZN6,3,12,4,L,5,20
567969087,MZN6,26,16,4,R,5,20
567969104,MZN6,3,12,3,L,6,20
567969124,MZN6,26,9,4,L,5,20
567969128,MZN6,3,17,4,L,7,20
567969136,MZN6,26,7,3,L,6,20
567969137,MZN6,3,17,4,L,6,20
567969144,MZN6,3,17,2,L,7,4
567969146,MZN6,3,17,4,L,4,20
567969149,MZN6,3,17,4,L,7,20
567971405,MZN6,20,7,2,R,4,20
567971423,MZN6,26,16,4,R,5,20
567973288,MZN5,6,14,4,R,33,217
567975009,MZN5,17,2,2,L,26,7
567997831,MZN5,19,9,6,L,11,6
568008845,MZN5,6,12,3,R,16,16
568008862,MZN6,8,9,2,L,16,21
568008867,MZN6,8,10,4,L,17,6
568008875,MZN6,8,11,1,L,16,20
568008877,MZN6,8,12,3,L,16,30
568009157,MZN5,6,8,2,L,15,20
568009162,MZN5,8,12,3,L,16,7
568009162,MZN5,8,12,3,L,15,11
568009163,MZN5,8,14,3,L,14,20
568009164,MZN5,8,12,2,L,14,17
568009166,MZN5,8,14,1,L,14,12
568009171,MZN5,8,12,3,L,16,20
568009172,MZN5,8,12,4,L,16,20
568009173,MZN5,8,14,3,L,16,20
568009174,MZN5,8,12,1,L,16,20
568009175,MZN5,8,14,2,L,16,17
568009176,MZN5,8,14,4,L,15,20
568009177,MZN5,8,15,3,L,15,20
568009181,MZN5,5,11,4,R,15,20
568009185,MZN5,5,11,3,R,15,3
568009186,MZN5,5,12,2,R,15,20
568009188,MZN5,5,11,2,R,14,8
568009195,MZN5,6,15,4,L,16,20
568009196,MZN5,6,15,2,R,16,20
568009199,MZN5,6,15,2,R,16,15
568009201,MZN5,6,15,3,R,15,20
568009203,MZN5,6,15,2,R,15,10
568009203,MZN5,6,15,2,R,16,10
568009204,MZN5,6,15,2,R,15,20
568009205,MZN5,6,15,2,R,16,20
568009206,MZN5,6,15,1,L,16,20
568009207,MZN5,6,15,4,L,16,20
568009208,MZN5,6,14,2,R,16,20
568009209,MZN5,6,15,1,R,14,20
568009210,MZN5,6,15,1,R,14,10
568009210,MZN5,6,15,1,R,16,10
568009211,MZN6,8,14,1,L,16,19
568009212,MZN6,8,14,3,L,14,17
568009213,MZN6,8,15,4,L,16,20
568009214,MZN6,8,15,2,R,16,20
568009215,MZN6,8,15,4,L,16,21
568009216,MZN6,8,15,2,R,16,20
568009217,MZN6,8,13,1,R,15,20
568009218,MZN6,8,14,1,L,15,20
568009219,MZN6,8,15,5,L,16,3
568009220,MZN6,8,15,2,R,15,6
568009220,MZN6,8,15,2,R,16,3
568009223,MZN6,8,14,3,L,16,10
568009225,MZN6,8,14,1,L,16,20
568009521,MZN5,6,13,3,L,15,25
568009522,MZN5,6,11,4,R,15,25
568009525,MZN5,6,13,3,L,14,28
568009531,MZN5,6,8,1,R,15,25
568009543,MZN5,6,9,1,L,14,21
568009544,MZN5,6,9,1,L,15,21
568012125,MZN5,6,14,4,R,31,280
568018505,MZN5,21,3,2,L,27,126
568018506,MZN5,21,3,1,L,27,112
568018507,MZN5,21,3,3,R,27,126
568018508,MZN5,21,3,3,R,27,119
568018509,MZN5,21,3,3,R,27,119
568018510,MZN5,21,3,4,L,25,126
568018511,MZN5,21,3,3,R,27,126
568018512,MZN5,21,3,4,R,26,126
568018513,MZN5,21,3,1,L,25,140
568018514,MZN5,21,3,4,R,25,140
568018515,MZN5,21,3,4,R,26,140
568018516,MZN5,21,3,4,L,24,133
568018517,MZN5,21,3,4,R,25,140
568018518,MZN5,21,3,1,L,26,140
568018519,MZN5,21,3,4,L,24,140
568018520,MZN5,21,3,5,R,24,140
568018521,MZN5,21,3,1,L,26,140
568018522,MZN5,21,3,5,R,25,140
568018523,MZN5,21,3,5,R,24,140
568018524,MZN5,21,3,5,R,25,140
568024595,MZN6,4,3,1,L,3,2
568031254,MZN5,25,3,1,R,84,35
568031254,MZN5,25,3,1,R,83,28
568031255,MZN5,25,6,6,R,84,434
568031259,MZN5,25,6,5,R,83,434
568043446,MZN4,24,9,3,L,80,385
568043449,MZN4,24,9,3,L,80,399
568055085,MZN4,4,3,4,L,9,16
568055087,MZN4,4,3,3,L,9,20
568055088,MZN4,4,2,6,R,10,9
568055089,MZN4,4,3,3,L,10,20
568055090,MZN4,4,3,5,R,12,20
568055093,MZN4,4,3,5,R,12,3
568055107,MZN4,4,3,6,R,10,20
568060944,MZN5,9,17,5,R,11,15
568060945,MZN5,9,17,7,L,11,14
568060946,MZN5,9,17,3,L,11,14
568060947,MZN5,9,17,5,R,11,16
568060948,MZN5,9,17,6,R,9,5
568060949,MZN5,9,17,3,L,11,15
568060950,MZN5,9,17,7,R,9,20
568060951,MZN5,9,17,5,R,9,20
